,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Survived
0,3,1,1,-0.09465726711560044,1,0,-0.048707370121739375,0,2.0,0
1,1,1,0,0.10534273288439958,1,0,0.07627730769869326,1,0.0,1
2,3,0,0,-0.04465726711560043,0,0,-0.047389857865947585,0,2.0,1
3,1,1,0,0.06784273288439957,1,0,0.04078586977167291,1,2.0,1
4,3,1,1,0.06784273288439957,0,0,-0.04714587411487504,0,2.0,0
5,3,1,1,0.16784273288439958,0,0,-0.04634892559037165,0,1.0,0
6,1,1,1,0.30534273288439956,0,0,0.03837043063605463,1,2.0,0
7,3,0,1,-0.3446572671156004,3,1,-0.02172276725311506,0,2.0,0
8,3,1,0,-0.03215726711560043,0,2,-0.041127673317419025,0,2.0,1
9,2,1,0,-0.19465726711560044,1,0,-0.004164135029927315,0,0.0,1
10,3,0,0,-0.31965726711560044,1,1,-0.0302621985406544,1,2.0,1
11,1,0,0,0.35534273288439955,0,0,-0.011036278956137255,1,2.0,1
12,3,1,1,-0.11965726711560043,0,0,-0.04714587411487504,0,2.0,0
13,3,1,1,0.11784273288439957,1,5,-0.0018136931655947724,0,2.0,0
14,3,0,0,-0.19465726711560044,0,0,-0.047528050262555084,0,2.0,0
15,2,1,0,0.31784273288439957,0,0,-0.031628507546660696,0,2.0,1
16,3,0,1,-0.3446572671156004,4,1,-0.0060102136840426736,0,1.0,0
17,2,1,1,-0.09465726711560044,0,0,-0.037484117572401957,0,2.0,1
18,3,1,0,0.01784273288439957,1,0,-0.02772476752949985,0,2.0,0
19,3,1,0,0.00534273288439957,0,0,-0.04875616687195388,0,0.0,1
20,2,1,1,0.06784273288439957,0,0,-0.012109807460856489,0,2.0,0
21,2,1,1,0.05534273288439957,0,0,-0.037484117572401957,1,2.0,1
22,3,0,0,-0.18215726711560043,0,0,-0.04718647301105351,0,1.0,1
23,1,1,1,-0.01965726711560043,0,0,0.006432957620657507,1,2.0,1
24,3,0,0,-0.26965726711560045,3,1,-0.02172276725311506,0,2.0,0
25,3,1,0,0.10534273288439958,1,5,-0.0015941077896294738,0,2.0,1
26,3,1,1,-0.33215726711560045,0,0,-0.04875616687195388,0,0.0,0
27,1,1,1,-0.13215726711560044,3,2,0.4504833845727032,3,2.0,0
28,3,0,0,-0.0071572671156004295,0,0,-0.04747925351234057,0,1.0,1
29,3,1,1,-0.13215726711560044,0,0,-0.047446852470198135,0,2.0,0
30,1,3,1,0.13034273288439957,0,0,-0.0087510295500913,0,0.0,0
31,1,1,0,-0.18215726711560043,1,0,0.22313112746926267,1,0.0,1
32,3,0,0,-0.01965726711560043,0,0,-0.047731435117449164,0,1.0,1
33,2,1,1,0.4553427328843996,0,0,-0.042363792593853006,0,2.0,0
34,1,1,1,-0.01965726711560043,1,0,0.0975282924171126,0,0.0,0
35,1,1,1,0.15534273288439956,1,0,0.038638812762234444,0,2.0,0
36,3,1,1,0.15534273288439956,0,0,-0.04874796901791785,0,0.0,1
37,3,1,1,-0.10715726711560043,0,0,-0.04714587411487504,0,2.0,0
38,3,0,0,-0.14465726711560042,2,0,-0.02772476752949985,0,2.0,0
39,3,0,0,-0.19465726711560044,1,0,-0.04091609060848891,0,0.0,1
40,3,1,0,0.13034273288439957,1,0,-0.044364459352647934,0,2.0,0
41,2,1,0,-0.03215726711560043,1,0,-0.02186915750375859,0,2.0,0
42,3,1,1,-0.04465726711560043,0,0,-0.047446852470198135,0,0.0,0
43,2,0,0,-0.33215726711560045,1,2,0.0182987657768196,0,0.0,1
44,3,0,0,-0.13215726711560044,0,0,-0.04747925351234057,0,1.0,1
45,3,1,1,-0.10715726711560043,0,0,-0.04714587411487504,0,2.0,0
46,3,1,1,-0.2821572671156004,1,0,-0.0326044425509509,0,1.0,0
47,3,0,0,0.44284273288439957,0,0,-0.047731435117449164,0,1.0,1
48,3,1,1,0.08034273288439957,2,0,-0.020543447393930766,0,0.0,0
49,3,1,0,-0.14465726711560042,1,0,-0.028115141531215936,0,2.0,0
50,3,0,1,-0.2821572671156004,4,1,0.014606413281588017,0,2.0,0
51,3,1,1,-0.10715726711560043,0,0,-0.04763384161702014,0,2.0,0
52,1,1,0,0.24284273288439956,1,0,0.0869069965784214,1,0.0,1
53,2,1,0,-0.0071572671156004295,1,0,-0.012109807460856489,0,2.0,1
54,1,1,1,0.44284273288439957,0,1,0.05811691395186017,1,0.0,0
55,1,1,1,-0.06965726711560043,0,0,0.006432957620657507,1,2.0,1
56,2,0,0,-0.10715726711560043,0,0,-0.042363792593853006,0,2.0,1
57,3,1,1,-0.013407267115600429,0,0,-0.04874796901791785,0,0.0,0
58,2,0,0,-0.30715726711560043,1,2,-0.008694034945840753,0,2.0,1
59,3,0,1,-0.23215726711560042,5,2,0.0286842757184743,0,2.0,0
60,3,1,1,-0.09465726711560044,0,0,-0.04874796901791785,0,0.0,0
61,1,0,0,0.10534273288439958,0,0,0.09329117300248622,1,0.0,1
62,1,1,1,0.19284273288439957,1,0,0.10007392128230316,1,2.0,0
63,3,0,1,-0.31965726711560044,3,2,-0.008401254444553691,0,2.0,0
64,1,1,1,-0.06965726711560043,0,0,-0.0087510295500913,0,0.0,0
65,3,0,1,0.4553427328843996,1,1,-0.03310060790713205,0,0.0,1
66,2,1,0,-0.0071572671156004295,0,0,-0.042363792593853006,1,2.0,1
67,3,1,1,-0.13215726711560044,0,0,-0.04693448659294577,0,2.0,0
68,3,0,0,-0.15715726711560044,4,2,-0.047389857865947585,0,2.0,1
69,3,1,1,-0.04465726711560043,2,0,-0.045950353734619524,0,2.0,0
70,2,1,1,0.03034273288439957,0,0,-0.042363792593853006,0,2.0,0
71,3,0,0,-0.16965726711560042,5,2,0.0286842757184743,0,2.0,0
72,2,1,1,-0.10715726711560043,0,0,0.08060401794671349,0,2.0,0
73,3,1,1,-0.04465726711560043,1,0,-0.03464570820592431,0,0.0,0
74,3,1,1,0.03034273288439957,0,0,0.04741402994681031,0,2.0,1
75,3,1,1,-0.05715726711560043,0,0,-0.047926622118307206,2,2.0,0
76,3,1,1,0.05534273288439957,0,0,-0.047446852470198135,0,2.0,0
77,3,1,1,-0.10715726711560043,0,0,-0.04714587411487504,0,2.0,0
78,2,0,1,-0.35928226711560046,0,2,-0.006254197435115226,0,2.0,1
79,3,0,0,0.00534273288439957,0,0,-0.03850884932690667,0,2.0,1
80,3,1,1,-0.09465726711560044,0,0,-0.04529159760672364,0,2.0,0
81,3,1,1,-0.0071572671156004295,0,0,-0.04431566260243343,0,2.0,1
82,3,0,0,0.14284273288439958,0,0,-0.04765823999212739,0,1.0,1
83,1,1,1,-0.01965726711560043,0,0,0.029074649720190388,0,2.0,0
84,2,0,0,-0.15715726711560044,0,0,-0.042363792593853006,0,2.0,1
85,3,1,0,0.04284273288439957,3,0,-0.031921288047947756,0,2.0,1
86,3,1,1,-0.16965726711560042,1,3,0.004237103861004534,0,2.0,0
87,3,1,1,0.15534273288439956,0,0,-0.04714587411487504,0,2.0,0
88,1,0,0,-0.08215726711560042,3,2,0.4504833845727032,3,2.0,1
89,3,1,1,-0.06965726711560043,0,0,-0.04714587411487504,0,2.0,0
90,3,1,1,-0.0071572671156004295,0,0,-0.04714587411487504,0,2.0,0
91,3,1,1,-0.11965726711560043,0,0,-0.047528050262555084,0,2.0,0
92,1,1,1,0.20534273288439958,1,0,0.0565472200909598,1,2.0,0
93,3,1,1,-0.04465726711560043,1,2,-0.022698702257405272,0,2.0,0
94,3,1,1,0.36784273288439956,0,0,-0.048707370121739375,0,2.0,0
95,3,1,1,0.06784273288439957,0,0,-0.04714587411487504,0,2.0,0
96,1,1,1,0.5178427328843995,0,0,0.004782065967400193,1,0.0,0
97,1,1,1,-0.08215726711560042,0,1,0.060808737880693436,2,0.0,1
98,2,1,0,0.05534273288439957,0,1,-0.01796541748659775,0,2.0,1
99,2,1,1,0.05534273288439957,1,0,-0.012109807460856489,0,2.0,0
100,3,0,0,-0.01965726711560043,0,0,-0.047446852470198135,0,2.0,0
101,3,1,1,-0.31965726711560044,0,0,-0.047446852470198135,0,2.0,0
102,1,1,1,-0.10715726711560043,0,1,0.08799672560421182,1,2.0,0
103,3,1,1,0.04284273288439957,0,0,-0.045966554255690746,0,2.0,0
104,3,1,1,0.09284273288439956,2,0,-0.047389857865947585,0,2.0,0
105,3,1,1,-0.01965726711560043,0,0,-0.047446852470198135,0,2.0,0
106,3,0,0,-0.10715726711560043,0,0,-0.047926622118307206,0,2.0,1
107,3,1,1,-0.10715726711560043,0,0,-0.04768263836723465,0,2.0,1
108,3,1,1,0.10534273288439958,0,0,-0.047446852470198135,0,2.0,0
109,3,0,0,-0.01965726711560043,1,0,-0.01572076697673027,0,1.0,1
110,1,1,1,0.21784273288439956,0,0,0.038638812762234444,1,2.0,0
111,3,0,0,-0.18840726711560044,1,0,-0.03464570820592431,0,0.0,0
112,3,1,1,-0.09465726711560044,0,0,-0.04714587411487504,0,2.0,0
113,3,0,0,-0.11965726711560043,1,0,-0.04368130484964479,0,2.0,0
114,3,0,0,-0.15715726711560044,0,0,-0.034637705538889126,0,0.0,0
115,3,1,1,-0.10715726711560043,0,0,-0.047389857865947585,0,2.0,0
116,3,1,1,0.5115927328843995,0,0,-0.047731435117449164,0,1.0,0
117,2,1,1,-0.0071572671156004295,1,0,-0.02186915750375859,0,2.0,0
118,1,1,1,-0.06965726711560043,0,1,0.4202699983358852,2,0.0,0
119,3,0,0,-0.3446572671156004,4,2,-0.0018136931655947724,0,2.0,0
120,2,1,1,-0.10715726711560043,2,0,0.08060401794671349,0,2.0,0
121,3,1,1,0.01784273288439957,0,0,-0.04714587411487504,0,2.0,0
122,2,1,1,0.03659273288439957,1,0,-0.004164135029927315,0,0.0,0
123,2,0,0,0.03659273288439957,0,0,-0.037484117572401957,1,2.0,1
124,1,1,1,0.30534273288439956,0,1,0.08799672560421182,1,2.0,0
125,3,0,1,-0.21965726711560044,1,0,-0.04091609060848891,0,0.0,1
126,3,1,1,-0.01965726711560043,0,0,-0.047731435117449164,0,1.0,0
127,3,1,1,-0.06965726711560043,0,0,-0.04891875764366863,0,2.0,1
128,3,0,0,-0.15715726711560044,1,1,-0.019217932471103805,2,0.0,1
129,3,1,1,0.19284273288439957,0,0,-0.04924413437409898,0,2.0,0
130,3,1,1,0.04284273288439957,0,0,-0.047446852470198135,0,0.0,0
131,3,1,1,-0.11965726711560043,0,0,-0.04909774412345545,0,2.0,0
132,3,1,0,0.21784273288439956,1,0,-0.03455631255953132,0,2.0,0
133,2,1,0,-0.0071572671156004295,1,0,-0.012109807460856489,0,2.0,1
134,2,1,1,-0.05715726711560043,0,0,-0.037484117572401957,0,2.0,0
135,2,1,1,-0.08215726711560042,0,0,-0.03349098190884813,0,0.0,0
136,1,0,0,-0.13215726711560044,0,2,-0.011556842687425654,1,2.0,1
137,1,1,1,0.09284273288439956,1,0,0.04078586977167291,1,2.0,0
138,3,1,1,-0.16965726711560042,0,0,-0.04486862737586426,0,2.0,0
139,1,1,1,-0.06965726711560043,0,0,0.09172967699562189,1,0.0,0
140,3,1,0,-0.25715726711560044,0,2,-0.03310060790713205,0,0.0,0
141,3,0,0,-0.09465726711560044,0,0,-0.047731435117449164,0,2.0,1
142,3,1,0,-0.06965726711560043,1,0,-0.031921288047947756,0,2.0,1
143,3,1,1,-0.13215726711560044,0,0,-0.04968330512602958,0,1.0,0
144,2,1,1,-0.14465726711560042,0,0,-0.04041192258527258,0,2.0,0
145,2,1,1,-0.13215726711560044,1,1,0.008872795131383032,0,2.0,0
146,3,1,1,-0.03215726711560043,0,0,-0.04764203947105618,0,2.0,1
147,3,0,0,-0.25715726711560044,2,2,0.004237103861004534,0,2.0,0
148,2,1,1,0.08659273288439957,0,2,-0.012109807460856489,1,2.0,0
149,2,2,1,0.15534273288439956,0,0,-0.037484117572401957,0,2.0,0
150,2,2,1,0.2678427328843996,0,0,-0.038411255826477655,0,2.0,0
151,1,1,0,-0.09465726711560044,1,0,0.06713611488750858,1,2.0,1
152,3,1,1,0.32409273288439955,0,0,-0.04714587411487504,0,2.0,0
153,3,1,1,0.13659273288439958,0,2,-0.03455631255953132,0,2.0,0
154,3,1,1,-0.06965726711560043,0,0,-0.0485853782462031,0,2.0,0
155,1,1,1,0.2678427328843996,0,1,0.05694579194671192,0,0.0,0
156,3,0,0,-0.16965726711560042,0,0,-0.047764031346592455,0,1.0,1
157,3,1,1,0.00534273288439957,0,0,-0.04714587411487504,0,2.0,0
158,3,1,1,-0.09465726711560044,0,0,-0.045950353734619524,0,2.0,0
159,3,0,1,-0.19465726711560044,8,2,0.07289413141282082,0,2.0,0
160,3,1,1,0.18034273288439956,0,1,-0.03143332054580265,0,2.0,0
161,2,1,0,0.13034273288439957,0,0,-0.0321164750488058,0,2.0,1
